"emoji.chars","emoji.descriptions"
"<U+0001F468><U+0001F3FE>","<U+200D><U+0001F33E> man farmer: medium-dark skin tone"
"<U+0001F468><U+0001F3FF>","<U+200D><U+0001F33E> man farmer: dark skin tone"
"<U+0001F469><U+200D>","<U+0001F33E> woman farmer"
"<U+0001F469><U+0001F3FB>","<U+200D><U+0001F33E> woman farmer: light skin tone"
"<U+0001F469><U+0001F3FC>","<U+200D><U+0001F33E> woman farmer: medium-light skin tone"
"<U+0001F469><U+0001F3FD>","<U+200D><U+0001F33E> woman farmer: medium skin tone"
"<U+0001F469><U+0001F3FE>","<U+200D><U+0001F33E> woman farmer: medium-dark skin tone"
"<U+0001F469><U+0001F3FF>","<U+200D><U+0001F33E> woman farmer: dark skin tone"
"<U+0001F468><U+200D>","<U+0001F373> man cook"
"<U+0001F468><U+0001F3FB>","<U+200D><U+0001F373> man cook: light skin tone"
"<U+0001F468><U+0001F3FC>","<U+200D><U+0001F373> man cook: medium-light skin tone"
"<U+0001F468><U+0001F3FD>","<U+200D><U+0001F373> man cook: medium skin tone"
"<U+0001F468><U+0001F3FE>","<U+200D><U+0001F373> man cook: medium-dark skin tone"
"<U+0001F468><U+0001F3FF>","<U+200D><U+0001F373> man cook: dark skin tone"
"<U+0001F469><U+200D>","<U+0001F373> woman cook"
"<U+0001F469><U+0001F3FB>","<U+200D><U+0001F373> woman cook: light skin tone"
"<U+0001F469><U+0001F3FC>","<U+200D><U+0001F373> woman cook: medium-light skin tone"
"<U+0001F469><U+0001F3FD>","<U+200D><U+0001F373> woman cook: medium skin tone"
"<U+0001F469><U+0001F3FE>","<U+200D><U+0001F373> woman cook: medium-dark skin tone"
"<U+0001F469><U+0001F3FF>","<U+200D><U+0001F373> woman cook: dark skin tone"
"<U+0001F468><U+200D>","<U+0001F527> man mechanic"
"<U+0001F468><U+0001F3FB>","<U+200D><U+0001F527> man mechanic: light skin tone"
"<U+0001F468><U+0001F3FC>","<U+200D><U+0001F527> man mechanic: medium-light skin tone"
"<U+0001F468><U+0001F3FD>","<U+200D><U+0001F527> man mechanic: medium skin tone"
"<U+0001F468><U+0001F3FE>","<U+200D><U+0001F527> man mechanic: medium-dark skin tone"
"<U+0001F468><U+0001F3FF>","<U+200D><U+0001F527> man mechanic: dark skin tone"
"<U+0001F469><U+200D>","<U+0001F527> woman mechanic"
"<U+0001F469><U+0001F3FB>","<U+200D><U+0001F527> woman mechanic: light skin tone"
"<U+0001F469><U+0001F3FC>","<U+200D><U+0001F527> woman mechanic: medium-light skin tone"
"<U+0001F469><U+0001F3FD>","<U+200D><U+0001F527> woman mechanic: medium skin tone"
"<U+0001F469><U+0001F3FE>","<U+200D><U+0001F527> woman mechanic: medium-dark skin tone"
"<U+0001F469><U+0001F3FF>","<U+200D><U+0001F527> woman mechanic: dark skin tone"
"<U+0001F468><U+200D>","<U+0001F3ED> man factory worker"
"<U+0001F468><U+0001F3FB>","<U+200D><U+0001F3ED> man factory worker: light skin tone"
"<U+0001F468><U+0001F3FC>","<U+200D><U+0001F3ED> man factory worker: medium-light skin tone"
"<U+0001F468><U+0001F3FD>","<U+200D><U+0001F3ED> man factory worker: medium skin tone"
"<U+0001F468><U+0001F3FE>","<U+200D><U+0001F3ED> man factory worker: medium-dark skin tone"
"<U+0001F468><U+0001F3FF>","<U+200D><U+0001F3ED> man factory worker: dark skin tone"
"<U+0001F469><U+200D>","<U+0001F3ED> woman factory worker"
"<U+0001F469><U+0001F3FB>","<U+200D><U+0001F3ED> woman factory worker: light skin tone"
"<U+0001F469><U+0001F3FC>","<U+200D><U+0001F3ED> woman factory worker: medium-light skin tone"
"<U+0001F469><U+0001F3FD>","<U+200D><U+0001F3ED> woman factory worker: medium skin tone"
"<U+0001F469><U+0001F3FE>","<U+200D><U+0001F3ED> woman factory worker: medium-dark skin tone"
"<U+0001F469><U+0001F3FF>","<U+200D><U+0001F3ED> woman factory worker: dark skin tone"
"<U+0001F468><U+200D>","<U+0001F4BC> man office worker"
"<U+0001F468><U+0001F3FB>","<U+200D><U+0001F4BC> man office worker: light skin tone"
"<U+0001F468><U+0001F3FC>","<U+200D><U+0001F4BC> man office worker: medium-light skin tone"
"<U+0001F468><U+0001F3FD>","<U+200D><U+0001F4BC> man office worker: medium skin tone"
"<U+0001F468><U+0001F3FE>","<U+200D><U+0001F4BC> man office worker: medium-dark skin tone"
"<U+0001F468><U+0001F3FF>","<U+200D><U+0001F4BC> man office worker: dark skin tone"
"<U+0001F469><U+200D>","<U+0001F4BC> woman office worker"
"<U+0001F469><U+0001F3FB>","<U+200D><U+0001F4BC> woman office worker: light skin tone"
"<U+0001F469><U+0001F3FC>","<U+200D><U+0001F4BC> woman office worker: medium-light skin tone"
"<U+0001F469><U+0001F3FD>","<U+200D><U+0001F4BC> woman office worker: medium skin tone"
"<U+0001F469><U+0001F3FE>","<U+200D><U+0001F4BC> woman office worker: medium-dark skin tone"
"<U+0001F469><U+0001F3FF>","<U+200D><U+0001F4BC> woman office worker: dark skin tone"
"<U+0001F468><U+200D>","<U+0001F52C> man scientist"
"<U+0001F468><U+0001F3FB>","<U+200D><U+0001F52C> man scientist: light skin tone"
"<U+0001F468><U+0001F3FC>","<U+200D><U+0001F52C> man scientist: medium-light skin tone"
"<U+0001F468><U+0001F3FD>","<U+200D><U+0001F52C> man scientist: medium skin tone"
"<U+0001F468><U+0001F3FE>","<U+200D><U+0001F52C> man scientist: medium-dark skin tone"
"<U+0001F468><U+0001F3FF>","<U+200D><U+0001F52C> man scientist: dark skin tone"
"<U+0001F469><U+200D>","<U+0001F52C> woman scientist"
"<U+0001F469><U+0001F3FB>","<U+200D><U+0001F52C> woman scientist: light skin tone"
"<U+0001F469><U+0001F3FC>","<U+200D><U+0001F52C> woman scientist: medium-light skin tone"
"<U+0001F469><U+0001F3FD>","<U+200D><U+0001F52C> woman scientist: medium skin tone"
"<U+0001F469><U+0001F3FE>","<U+200D><U+0001F52C> woman scientist: medium-dark skin tone"
"<U+0001F469><U+0001F3FF>","<U+200D><U+0001F52C> woman scientist: dark skin tone"
"<U+0001F468><U+200D>","<U+0001F4BB> man technologist"
"<U+0001F468><U+0001F3FB>","<U+200D><U+0001F4BB> man technologist: light skin tone"
"<U+0001F468><U+0001F3FC>","<U+200D><U+0001F4BB> man technologist: medium-light skin tone"
"<U+0001F468><U+0001F3FD>","<U+200D><U+0001F4BB> man technologist: medium skin tone"
"<U+0001F468><U+0001F3FE>","<U+200D><U+0001F4BB> man technologist: medium-dark skin tone"
"<U+0001F468><U+0001F3FF>","<U+200D><U+0001F4BB> man technologist: dark skin tone"
"<U+0001F469><U+200D>","<U+0001F4BB> woman technologist"
"<U+0001F469><U+0001F3FB>","<U+200D><U+0001F4BB> woman technologist: light skin tone"
"<U+0001F469><U+0001F3FC>","<U+200D><U+0001F4BB> woman technologist: medium-light skin tone"
"<U+0001F469><U+0001F3FD>","<U+200D><U+0001F4BB> woman technologist: medium skin tone"
"<U+0001F469><U+0001F3FE>","<U+200D><U+0001F4BB> woman technologist: medium-dark skin tone"
"<U+0001F469><U+0001F3FF>","<U+200D><U+0001F4BB> woman technologist: dark skin tone"
"<U+0001F468><U+200D>","<U+0001F3A4> man singer"
"<U+0001F468><U+0001F3FB>","<U+200D><U+0001F3A4> man singer: light skin tone"
"<U+0001F468><U+0001F3FC>","<U+200D><U+0001F3A4> man singer: medium-light skin tone"
"<U+0001F468><U+0001F3FD>","<U+200D><U+0001F3A4> man singer: medium skin tone"
"<U+0001F468><U+0001F3FE>","<U+200D><U+0001F3A4> man singer: medium-dark skin tone"
"<U+0001F468><U+0001F3FF>","<U+200D><U+0001F3A4> man singer: dark skin tone"
"<U+0001F469><U+200D>","<U+0001F3A4> woman singer"
"<U+0001F469><U+0001F3FB>","<U+200D><U+0001F3A4> woman singer: light skin tone"
"<U+0001F469><U+0001F3FC>","<U+200D><U+0001F3A4> woman singer: medium-light skin tone"
"<U+0001F469><U+0001F3FD>","<U+200D><U+0001F3A4> woman singer: medium skin tone"
"<U+0001F469><U+0001F3FE>","<U+200D><U+0001F3A4> woman singer: medium-dark skin tone"
"<U+0001F469><U+0001F3FF>","<U+200D><U+0001F3A4> woman singer: dark skin tone"
"<U+0001F468><U+200D>","<U+0001F3A8> man artist"
"<U+0001F468><U+0001F3FB>","<U+200D><U+0001F3A8> man artist: light skin tone"
"<U+0001F468><U+0001F3FC>","<U+200D><U+0001F3A8> man artist: medium-light skin tone"
"<U+0001F468><U+0001F3FD>","<U+200D><U+0001F3A8> man artist: medium skin tone"
"<U+0001F468><U+0001F3FE>","<U+200D><U+0001F3A8> man artist: medium-dark skin tone"
"<U+0001F468><U+0001F3FF>","<U+200D><U+0001F3A8> man artist: dark skin tone"
"<U+0001F469><U+200D>","<U+0001F3A8> woman artist"
"<U+0001F469><U+0001F3FB>","<U+200D><U+0001F3A8> woman artist: light skin tone"
"<U+0001F469><U+0001F3FC>","<U+200D><U+0001F3A8> woman artist: medium-light skin tone"
"<U+0001F469><U+0001F3FD>","<U+200D><U+0001F3A8> woman artist: medium skin tone"
"<U+0001F469><U+0001F3FE>","<U+200D><U+0001F3A8> woman artist: medium-dark skin tone"
"<U+0001F469><U+0001F3FF>","<U+200D><U+0001F3A8> woman artist: dark skin tone"
"<U+0001F468><U+200D>","<U+2708><U+FE0F> man pilot"
"<U+0001F468><U+200D>","<U+2708> man pilot"
"<U+0001F468><U+0001F3FB>","<U+200D><U+2708><U+FE0F> man pilot: light skin tone"
"<U+0001F468><U+0001F3FB>","<U+200D><U+2708> man pilot: light skin tone"
"<U+0001F468><U+0001F3FC>","<U+200D><U+2708><U+FE0F> man pilot: medium-light skin tone"
"<U+0001F468><U+0001F3FC>","<U+200D><U+2708> man pilot: medium-light skin tone"
"<U+0001F468><U+0001F3FD>","<U+200D><U+2708><U+FE0F> man pilot: medium skin tone"
"<U+0001F468><U+0001F3FD>","<U+200D><U+2708> man pilot: medium skin tone"
"<U+0001F468><U+0001F3FE>","<U+200D><U+2708><U+FE0F> man pilot: medium-dark skin tone"
"<U+0001F468><U+0001F3FE>","<U+200D><U+2708> man pilot: medium-dark skin tone"
"<U+0001F468><U+0001F3FF>","<U+200D><U+2708><U+FE0F> man pilot: dark skin tone"
"<U+0001F468><U+0001F3FF>","<U+200D><U+2708> man pilot: dark skin tone"
"<U+0001F469><U+200D>","<U+2708><U+FE0F> woman pilot"
"<U+0001F469><U+200D>","<U+2708> woman pilot"
"<U+0001F469><U+0001F3FB>","<U+200D><U+2708><U+FE0F> woman pilot: light skin tone"
"<U+0001F469><U+0001F3FB>","<U+200D><U+2708> woman pilot: light skin tone"
"<U+0001F469><U+0001F3FC>","<U+200D><U+2708><U+FE0F> woman pilot: medium-light skin tone"
"<U+0001F469><U+0001F3FC>","<U+200D><U+2708> woman pilot: medium-light skin tone"
"<U+0001F469><U+0001F3FD>","<U+200D><U+2708><U+FE0F> woman pilot: medium skin tone"
"<U+0001F469><U+0001F3FD>","<U+200D><U+2708> woman pilot: medium skin tone"
"<U+0001F469><U+0001F3FE>","<U+200D><U+2708><U+FE0F> woman pilot: medium-dark skin tone"
"<U+0001F469><U+0001F3FE>","<U+200D><U+2708> woman pilot: medium-dark skin tone"
"<U+0001F469><U+0001F3FF>","<U+200D><U+2708><U+FE0F> woman pilot: dark skin tone"
"<U+0001F469><U+0001F3FF>","<U+200D><U+2708> woman pilot: dark skin tone"
"<U+0001F468><U+200D>","<U+0001F680> man astronaut"
"<U+0001F468><U+0001F3FB>","<U+200D><U+0001F680> man astronaut: light skin tone"
"<U+0001F468><U+0001F3FC>","<U+200D><U+0001F680> man astronaut: medium-light skin tone"
"<U+0001F468><U+0001F3FD>","<U+200D><U+0001F680> man astronaut: medium skin tone"
"<U+0001F468><U+0001F3FE>","<U+200D><U+0001F680> man astronaut: medium-dark skin tone"
"<U+0001F468><U+0001F3FF>","<U+200D><U+0001F680> man astronaut: dark skin tone"
"<U+0001F469><U+200D>","<U+0001F680> woman astronaut"
"<U+0001F469><U+0001F3FB>","<U+200D><U+0001F680> woman astronaut: light skin tone"
"<U+0001F469><U+0001F3FC>","<U+200D><U+0001F680> woman astronaut: medium-light skin tone"
"<U+0001F469><U+0001F3FD>","<U+200D><U+0001F680> woman astronaut: medium skin tone"
"<U+0001F469><U+0001F3FE>","<U+200D><U+0001F680> woman astronaut: medium-dark skin tone"
"<U+0001F469><U+0001F3FF>","<U+200D><U+0001F680> woman astronaut: dark skin tone"
"<U+0001F468><U+200D>","<U+0001F692> man firefighter"
"<U+0001F468><U+0001F3FB>","<U+200D><U+0001F692> man firefighter: light skin tone"
"<U+0001F468><U+0001F3FC>","<U+200D><U+0001F692> man firefighter: medium-light skin tone"
"<U+0001F468><U+0001F3FD>","<U+200D><U+0001F692> man firefighter: medium skin tone"
"<U+0001F468><U+0001F3FE>","<U+200D><U+0001F692> man firefighter: medium-dark skin tone"
"<U+0001F468><U+0001F3FF>","<U+200D><U+0001F692> man firefighter: dark skin tone"
"<U+0001F469><U+200D>","<U+0001F692> woman firefighter"
"<U+0001F469><U+0001F3FB>","<U+200D><U+0001F692> woman firefighter: light skin tone"
"<U+0001F469><U+0001F3FC>","<U+200D><U+0001F692> woman firefighter: medium-light skin tone"
"<U+0001F469><U+0001F3FD>","<U+200D><U+0001F692> woman firefighter: medium skin tone"
"<U+0001F469><U+0001F3FE>","<U+200D><U+0001F692> woman firefighter: medium-dark skin tone"
"<U+0001F469><U+0001F3FF>","<U+200D><U+0001F692> woman firefighter: dark skin tone"
"<U+0001F46E>","police officer"
"<U+0001F46E><U+0001F3FB>","police officer: light skin tone"
"<U+0001F46E><U+0001F3FC>","police officer: medium-light skin tone"
"<U+0001F46E><U+0001F3FD>","police officer: medium skin tone"
"<U+0001F46E><U+0001F3FE>","police officer: medium-dark skin tone"
"<U+0001F46E><U+0001F3FF>","police officer: dark skin tone"
"<U+0001F46E><U+200D>","<U+2642><U+FE0F> man police officer"
"<U+0001F46E><U+200D>","<U+2642> man police officer"
"<U+0001F46E><U+0001F3FB>","<U+200D><U+2642><U+FE0F> man police officer: light skin tone"
"<U+0001F46E><U+0001F3FB>","<U+200D><U+2642> man police officer: light skin tone"
"<U+0001F46E><U+0001F3FC>","<U+200D><U+2642><U+FE0F> man police officer: medium-light skin tone"
"<U+0001F46E><U+0001F3FC>","<U+200D><U+2642> man police officer: medium-light skin tone"
"<U+0001F46E><U+0001F3FD>","<U+200D><U+2642><U+FE0F> man police officer: medium skin tone"
"<U+0001F46E><U+0001F3FD>","<U+200D><U+2642> man police officer: medium skin tone"
"<U+0001F46E><U+0001F3FE>","<U+200D><U+2642><U+FE0F> man police officer: medium-dark skin tone"
"<U+0001F46E><U+0001F3FE>","<U+200D><U+2642> man police officer: medium-dark skin tone"
"<U+0001F46E><U+0001F3FF>","<U+200D><U+2642><U+FE0F> man police officer: dark skin tone"
"<U+0001F46E><U+0001F3FF>","<U+200D><U+2642> man police officer: dark skin tone"
"<U+0001F46E><U+200D>","<U+2640><U+FE0F> woman police officer"
"<U+0001F46E><U+200D>","<U+2640> woman police officer"
"<U+0001F46E><U+0001F3FB>","<U+200D><U+2640><U+FE0F> woman police officer: light skin tone"
"<U+0001F46E><U+0001F3FB>","<U+200D><U+2640> woman police officer: light skin tone"
"<U+0001F46E><U+0001F3FC>","<U+200D><U+2640><U+FE0F> woman police officer: medium-light skin tone"
"<U+0001F46E><U+0001F3FC>","<U+200D><U+2640> woman police officer: medium-light skin tone"
"<U+0001F46E><U+0001F3FD>","<U+200D><U+2640><U+FE0F> woman police officer: medium skin tone"
"<U+0001F46E><U+0001F3FD>","<U+200D><U+2640> woman police officer: medium skin tone"
"<U+0001F46E><U+0001F3FE>","<U+200D><U+2640><U+FE0F> woman police officer: medium-dark skin tone"
"<U+0001F46E><U+0001F3FE>","<U+200D><U+2640> woman police officer: medium-dark skin tone"
"<U+0001F46E><U+0001F3FF>","<U+200D><U+2640><U+FE0F> woman police officer: dark skin tone"
"<U+0001F46E><U+0001F3FF>","<U+200D><U+2640> woman police officer: dark skin tone"
"<U+0001F575><U+FE0F>","detective"
"<U+0001F575>","detective"
"<U+0001F575><U+0001F3FB>","detective: light skin tone"
"<U+0001F575><U+0001F3FC>","detective: medium-light skin tone"
"<U+0001F575><U+0001F3FD>","detective: medium skin tone"
"<U+0001F575><U+0001F3FE>","detective: medium-dark skin tone"
"<U+0001F575><U+0001F3FF>","detective: dark skin tone"
"<U+0001F575><U+FE0F>","<U+200D><U+2642><U+FE0F> man detective"
"<U+0001F575><U+200D>","<U+2642><U+FE0F> man detective"
"<U+0001F575><U+FE0F>","<U+200D><U+2642> man detective"
"<U+0001F575><U+200D>","<U+2642> man detective"
"<U+0001F575><U+0001F3FB>","<U+200D><U+2642><U+FE0F> man detective: light skin tone"
"<U+0001F575><U+0001F3FB>","<U+200D><U+2642> man detective: light skin tone"
"<U+0001F575><U+0001F3FC>","<U+200D><U+2642><U+FE0F> man detective: medium-light skin tone"
"<U+0001F575><U+0001F3FC>","<U+200D><U+2642> man detective: medium-light skin tone"
"<U+0001F575><U+0001F3FD>","<U+200D><U+2642><U+FE0F> man detective: medium skin tone"
"<U+0001F575><U+0001F3FD>","<U+200D><U+2642> man detective: medium skin tone"
"<U+0001F575><U+0001F3FE>","<U+200D><U+2642><U+FE0F> man detective: medium-dark skin tone"
"<U+0001F575><U+0001F3FE>","<U+200D><U+2642> man detective: medium-dark skin tone"
"<U+0001F575><U+0001F3FF>","<U+200D><U+2642><U+FE0F> man detective: dark skin tone"
"<U+0001F575><U+0001F3FF>","<U+200D><U+2642> man detective: dark skin tone"
"<U+0001F575><U+FE0F>","<U+200D><U+2640><U+FE0F> woman detective"
"<U+0001F575><U+200D>","<U+2640><U+FE0F> woman detective"
"<U+0001F575><U+FE0F>","<U+200D><U+2640> woman detective"
"<U+0001F575><U+200D>","<U+2640> woman detective"
"<U+0001F575><U+0001F3FB>","<U+200D><U+2640><U+FE0F> woman detective: light skin tone"
"<U+0001F575><U+0001F3FB>","<U+200D><U+2640> woman detective: light skin tone"
"<U+0001F575><U+0001F3FC>","<U+200D><U+2640><U+FE0F> woman detective: medium-light skin tone"
"<U+0001F575><U+0001F3FC>","<U+200D><U+2640> woman detective: medium-light skin tone"
"<U+0001F575><U+0001F3FD>","<U+200D><U+2640><U+FE0F> woman detective: medium skin tone"
"<U+0001F575><U+0001F3FD>","<U+200D><U+2640> woman detective: medium skin tone"
"<U+0001F575><U+0001F3FE>","<U+200D><U+2640><U+FE0F> woman detective: medium-dark skin tone"
"<U+0001F575><U+0001F3FE>","<U+200D><U+2640> woman detective: medium-dark skin tone"
"<U+0001F575><U+0001F3FF>","<U+200D><U+2640><U+FE0F> woman detective: dark skin tone"
"<U+0001F575><U+0001F3FF>","<U+200D><U+2640> woman detective: dark skin tone"
"<U+0001F482>","guard"
"<U+0001F482><U+0001F3FB>","guard: light skin tone"
"<U+0001F482><U+0001F3FC>","guard: medium-light skin tone"
"<U+0001F482><U+0001F3FD>","guard: medium skin tone"
"<U+0001F482><U+0001F3FE>","guard: medium-dark skin tone"
"<U+0001F482><U+0001F3FF>","guard: dark skin tone"
"<U+0001F482><U+200D>","<U+2642><U+FE0F> man guard"
"<U+0001F482><U+200D>","<U+2642> man guard"
"<U+0001F482><U+0001F3FB>","<U+200D><U+2642><U+FE0F> man guard: light skin tone"
"<U+0001F482><U+0001F3FB>","<U+200D><U+2642> man guard: light skin tone"
"<U+0001F482><U+0001F3FC>","<U+200D><U+2642><U+FE0F> man guard: medium-light skin tone"
"<U+0001F482><U+0001F3FC>","<U+200D><U+2642> man guard: medium-light skin tone"
"<U+0001F482><U+0001F3FD>","<U+200D><U+2642><U+FE0F> man guard: medium skin tone"
"<U+0001F482><U+0001F3FD>","<U+200D><U+2642> man guard: medium skin tone"
"<U+0001F482><U+0001F3FE>","<U+200D><U+2642><U+FE0F> man guard: medium-dark skin tone"
"<U+0001F482><U+0001F3FE>","<U+200D><U+2642> man guard: medium-dark skin tone"
"<U+0001F482><U+0001F3FF>","<U+200D><U+2642><U+FE0F> man guard: dark skin tone"
"<U+0001F482><U+0001F3FF>","<U+200D><U+2642> man guard: dark skin tone"
"<U+0001F482><U+200D>","<U+2640><U+FE0F> woman guard"
"<U+0001F482><U+200D>","<U+2640> woman guard"
"<U+0001F482><U+0001F3FB>","<U+200D><U+2640><U+FE0F> woman guard: light skin tone"
"<U+0001F482><U+0001F3FB>","<U+200D><U+2640> woman guard: light skin tone"
"<U+0001F482><U+0001F3FC>","<U+200D><U+2640><U+FE0F> woman guard: medium-light skin tone"
"<U+0001F482><U+0001F3FC>","<U+200D><U+2640> woman guard: medium-light skin tone"
"<U+0001F482><U+0001F3FD>","<U+200D><U+2640><U+FE0F> woman guard: medium skin tone"
"<U+0001F482><U+0001F3FD>","<U+200D><U+2640> woman guard: medium skin tone"
"<U+0001F482><U+0001F3FE>","<U+200D><U+2640><U+FE0F> woman guard: medium-dark skin tone"
"<U+0001F482><U+0001F3FE>","<U+200D><U+2640> woman guard: medium-dark skin tone"
"<U+0001F482><U+0001F3FF>","<U+200D><U+2640><U+FE0F> woman guard: dark skin tone"
"<U+0001F482><U+0001F3FF>","<U+200D><U+2640> woman guard: dark skin tone"
"<U+0001F477>","construction worker"
"<U+0001F477><U+0001F3FB>","construction worker: light skin tone"
"<U+0001F477><U+0001F3FC>","construction worker: medium-light skin tone"
"<U+0001F477><U+0001F3FD>","construction worker: medium skin tone"
"<U+0001F477><U+0001F3FE>","construction worker: medium-dark skin tone"
"<U+0001F477><U+0001F3FF>","construction worker: dark skin tone"
"<U+0001F477><U+200D>","<U+2642><U+FE0F> man construction worker"
"<U+0001F477><U+200D>","<U+2642> man construction worker"
"<U+0001F477><U+0001F3FB>","<U+200D><U+2642><U+FE0F> man construction worker: light skin tone"
"<U+0001F477><U+0001F3FB>","<U+200D><U+2642> man construction worker: light skin tone"
"<U+0001F477><U+0001F3FC>","<U+200D><U+2642><U+FE0F> man construction worker: medium-light skin tone"
"<U+0001F477><U+0001F3FC>","<U+200D><U+2642> man construction worker: medium-light skin tone"
"<U+0001F477><U+0001F3FD>","<U+200D><U+2642><U+FE0F> man construction worker: medium skin tone"
"<U+0001F477><U+0001F3FD>","<U+200D><U+2642> man construction worker: medium skin tone"
"<U+0001F477><U+0001F3FE>","<U+200D><U+2642><U+FE0F> man construction worker: medium-dark skin tone"
"<U+0001F477><U+0001F3FE>","<U+200D><U+2642> man construction worker: medium-dark skin tone"
"<U+0001F477><U+0001F3FF>","<U+200D><U+2642><U+FE0F> man construction worker: dark skin tone"
"<U+0001F477><U+0001F3FF>","<U+200D><U+2642> man construction worker: dark skin tone"
"<U+0001F477><U+200D>","<U+2640><U+FE0F> woman construction worker"
"<U+0001F477><U+200D>","<U+2640> woman construction worker"
"<U+0001F477><U+0001F3FB>","<U+200D><U+2640><U+FE0F> woman construction worker: light skin tone"
"<U+0001F477><U+0001F3FB>","<U+200D><U+2640> woman construction worker: light skin tone"
"<U+0001F477><U+0001F3FC>","<U+200D><U+2640><U+FE0F> woman construction worker: medium-light skin tone"
"<U+0001F477><U+0001F3FC>","<U+200D><U+2640> woman construction worker: medium-light skin tone"
"<U+0001F477><U+0001F3FD>","<U+200D><U+2640><U+FE0F> woman construction worker: medium skin tone"
"<U+0001F477><U+0001F3FD>","<U+200D><U+2640> woman construction worker: medium skin tone"
"<U+0001F477><U+0001F3FE>","<U+200D><U+2640><U+FE0F> woman construction worker: medium-dark skin tone"
"<U+0001F477><U+0001F3FE>","<U+200D><U+2640> woman construction worker: medium-dark skin tone"
"<U+0001F477><U+0001F3FF>","<U+200D><U+2640><U+FE0F> woman construction worker: dark skin tone"
"<U+0001F477><U+0001F3FF>","<U+200D><U+2640> woman construction worker: dark skin tone"
"<U+0001F934>","prince"
"<U+0001F934><U+0001F3FB>","prince: light skin tone"
"<U+0001F934><U+0001F3FC>","prince: medium-light skin tone"
"<U+0001F934><U+0001F3FD>","prince: medium skin tone"
"<U+0001F934><U+0001F3FE>","prince: medium-dark skin tone"
"<U+0001F934><U+0001F3FF>","prince: dark skin tone"
"<U+0001F478>","princess"
"<U+0001F478><U+0001F3FB>","princess: light skin tone"
"<U+0001F478><U+0001F3FC>","princess: medium-light skin tone"
"<U+0001F478><U+0001F3FD>","princess: medium skin tone"
"<U+0001F478><U+0001F3FE>","princess: medium-dark skin tone"
"<U+0001F478><U+0001F3FF>","princess: dark skin tone"
"<U+0001F473>","person wearing turban"
"<U+0001F473><U+0001F3FB>","person wearing turban: light skin tone"
"<U+0001F473><U+0001F3FC>","person wearing turban: medium-light skin tone"
"<U+0001F473><U+0001F3FD>","person wearing turban: medium skin tone"
"<U+0001F473><U+0001F3FE>","person wearing turban: medium-dark skin tone"
"<U+0001F473><U+0001F3FF>","person wearing turban: dark skin tone"
"<U+0001F473><U+200D>","<U+2642><U+FE0F> man wearing turban"
"<U+0001F473><U+200D>","<U+2642> man wearing turban"
"<U+0001F473><U+0001F3FB>","<U+200D><U+2642><U+FE0F> man wearing turban: light skin tone"
"<U+0001F473><U+0001F3FB>","<U+200D><U+2642> man wearing turban: light skin tone"
"<U+0001F473><U+0001F3FC>","<U+200D><U+2642><U+FE0F> man wearing turban: medium-light skin tone"
"<U+0001F473><U+0001F3FC>","<U+200D><U+2642> man wearing turban: medium-light skin tone"
"<U+0001F473><U+0001F3FD>","<U+200D><U+2642><U+FE0F> man wearing turban: medium skin tone"
"<U+0001F473><U+0001F3FD>","<U+200D><U+2642> man wearing turban: medium skin tone"
"<U+0001F473><U+0001F3FE>","<U+200D><U+2642><U+FE0F> man wearing turban: medium-dark skin tone"
"<U+0001F473><U+0001F3FE>","<U+200D><U+2642> man wearing turban: medium-dark skin tone"
"<U+0001F473><U+0001F3FF>","<U+200D><U+2642><U+FE0F> man wearing turban: dark skin tone"
"<U+0001F473><U+0001F3FF>","<U+200D><U+2642> man wearing turban: dark skin tone"
"<U+0001F473><U+200D>","<U+2640><U+FE0F> woman wearing turban"
"<U+0001F473><U+200D>","<U+2640> woman wearing turban"
"<U+0001F473><U+0001F3FB>","<U+200D><U+2640><U+FE0F> woman wearing turban: light skin tone"
"<U+0001F473><U+0001F3FB>","<U+200D><U+2640> woman wearing turban: light skin tone"
"<U+0001F473><U+0001F3FC>","<U+200D><U+2640><U+FE0F> woman wearing turban: medium-light skin tone"
"<U+0001F473><U+0001F3FC>","<U+200D><U+2640> woman wearing turban: medium-light skin tone"
"<U+0001F473><U+0001F3FD>","<U+200D><U+2640><U+FE0F> woman wearing turban: medium skin tone"
"<U+0001F473><U+0001F3FD>","<U+200D><U+2640> woman wearing turban: medium skin tone"
"<U+0001F473><U+0001F3FE>","<U+200D><U+2640><U+FE0F> woman wearing turban: medium-dark skin tone"
"<U+0001F473><U+0001F3FE>","<U+200D><U+2640> woman wearing turban: medium-dark skin tone"
"<U+0001F473><U+0001F3FF>","<U+200D><U+2640><U+FE0F> woman wearing turban: dark skin tone"
"<U+0001F473><U+0001F3FF>","<U+200D><U+2640> woman wearing turban: dark skin tone"
"<U+0001F472>","man with Chinese cap"
"<U+0001F472><U+0001F3FB>","man with Chinese cap: light skin tone"
"<U+0001F472><U+0001F3FC>","man with Chinese cap: medium-light skin tone"
"<U+0001F472><U+0001F3FD>","man with Chinese cap: medium skin tone"
"<U+0001F472><U+0001F3FE>","man with Chinese cap: medium-dark skin tone"
"<U+0001F472><U+0001F3FF>","man with Chinese cap: dark skin tone"
"<U+0001F9D5>","woman with headscarf"
"<U+0001F9D5><U+0001F3FB>","woman with headscarf: light skin tone"
"<U+0001F9D5><U+0001F3FC>","woman with headscarf: medium-light skin tone"
